Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
71032,2018,9,27,5.8,-1.7,0
71032,2018,9,28,5.2,2,0
71032,2018,9,29,3.1,-6.3,1.2
71032,2018,9,30,7.5,-4.8,0.2
71032,2019,6,1,1.8,-4.1,0
71032,2019,6,2,1.2,-4.9,0
71032,2019,6,3,-1.5,-3.1,0.4
71032,2019,6,4,-2.6,-5.4,4.2
71032,2019,6,5,1.5,-6.2,1.2
71032,2019,6,6,6.1,-5.1,0
71032,2019,6,7,8,-1.6,0
71032,2019,6,8,6.6,-2,0
71032,2019,6,9,2.7,-0.3,0
71032,2019,6,10,4.1,1.5,13.6
71032,2019,6,11,7.5,0.1,27
71032,2019,6,12,5.5,3.3,0
71032,2019,6,13,1.4,0.8,31.2
71032,2019,6,14,0.2,-2.3,0.8
71032,2019,6,15,0.7,-1.3,0.8
71032,2019,6,16,2.4,-3.9,0
71032,2019,6,17,3.9,-7.6,0
71032,2019,6,18,-1.3,-2.1,0
71032,2019,6,19,-2.5,-7.5,3
71032,2019,6,20,-2.2,-10,0
71032,2019,6,21,-3.3,-9.3,0
71032,2019,6,22,-2.2,-7.4,0.6
71032,2019,6,23,-0.8,-7,0
71032,2019,6,24,2.6,-6.9,0
71032,2019,6,25,5.9,-6,0
71032,2019,6,26,6,-6.1,0
71032,2019,6,27,5.7,-3.7,0
71032,2019,6,28,3.2,-2.5,0
71032,2019,6,29,3.3,1.1,0.4
71032,2019,6,30,0.9,-3.9,22.4
71032,2019,7,1,2.4,-5.2,1.2
71032,2019,7,2,1.8,-2.9,0
71032,2019,7,3,4.7,-5.1,0
71032,2019,7,4,3.6,-5.2,0
71032,2019,7,5,5,-3.4,0
71032,2019,7,6,6.7,-2.8,0
71032,2019,7,7,2.6,-3.4,0
71032,2019,7,8,1.4,1,9.6
71032,2019,7,9,-1.8,-3.8,0.6
71032,2019,7,10,-0.7,-3.5,0.6
71032,2019,7,11,-0.6,-4.9,8.4
71032,2019,7,12,0.1,-4.7,16.4
71032,2019,7,13,-5.2,-6.6,20.6
71032,2019,7,14,-2.5,-7.3,0.2
71032,2019,7,15,-1.6,-5.4,3.8
71032,2019,7,16,-0.5,-4.8,1
71032,2019,7,17,-1.8,-3.3,0
71032,2019,7,18,-1.7,-4.7,1.8
71032,2019,7,19,-1.4,-5.7,0
71032,2019,7,20,4.1,-5.7,0
71032,2019,7,21,1.4,-3.6,0
71032,2019,7,22,2.2,-1,0
71032,2019,7,23,-0.5,-2.1,0
71032,2019,7,24,3.1,-5.8,9.8
71032,2019,7,25,5.8,-6.1,0.4
71032,2019,7,26,4,-0.3,0
71032,2019,7,27,-0.2,-1.5,0.4
71032,2019,7,28,0.4,-3.1,0
71032,2019,7,29,0.1,-2.6,1.6
71032,2019,7,30,2,-8.4,2.2
71032,2019,7,31,4.2,-6.2,0
71032,2019,8,1,3.4,-3.8,0
71032,2019,8,2,4.4,-3.3,0
71032,2019,8,3,3.7,-0.7,0
71032,2019,8,4,3.1,-3.3,0
71032,2019,8,5,1.5,-3.1,0
71032,2019,8,6,3.6,-2.9,0
71032,2019,8,7,1.5,-3.3,0
71032,2019,8,8,-2.3,-3.2,2.6
71032,2019,8,9,-4.3,-5.4,10.4
71032,2019,8,10,-5,-8,5.2
71032,2019,8,11,-3.4,-7.5,1.8
71032,2019,8,12,-0.4,-7.2,0.2
71032,2019,8,13,1.4,-4.2,0
71032,2019,8,14,1.5,-7.1,0
71032,2019,8,15,-0.2,-5.5,0
71032,2019,8,16,0.4,-3.8,0
71032,2019,8,17,3.2,-4,1.6
71032,2019,8,18,4.5,-1.7,0
71032,2019,8,19,-4,-6.5,5.4
71032,2019,8,20,-0.6,-6.4,2.8
71032,2019,8,21,-0.2,-4,4.2
71032,2019,8,22,-3.5,-4.1,3.4
71032,2019,8,23,1.4,-7.7,0
71032,2019,8,24,1.5,-4.6,0
71032,2019,8,25,2.1,-2.4,0
71032,2019,8,26,2.4,-6.6,0
71032,2019,8,27,1.7,-5.4,0
71032,2019,8,28,-0.4,-6.3,0
71032,2019,8,29,-1.6,-7.5,2.6
71032,2019,8,30,3.9,-9.6,0.4
71032,2019,8,31,6.8,-6.1,0
71032,2019,9,1,4.8,-2.2,0
71032,2019,9,2,5.5,-2.9,1.2
71032,2019,9,3,5.4,-0.2,0
71032,2019,9,4,4.8,,0
71032,2019,9,5,6.5,0.5,0
71032,2019,9,6,4.6,1.1,2.4
71032,2019,9,7,-2.9,-4.5,11
71032,2019,9,8,-2.5,-5.6,4
71032,2019,9,9,-2.1,-6.3,2.4
71032,2019,9,10,4,-7.5,0.2
71032,2019,9,11,7.4,-3.5,0
71032,2019,9,12,5.4,-0.3,0
71032,2019,9,13,5.5,-0.1,0.2
71032,2019,9,14,5.9,-0.7,0
71032,2019,9,15,5.8,1,0
71032,2019,9,16,3.2,2.4,3.8
71032,2019,9,17,-1.3,-8.3,35.2
71032,2019,9,18,5.1,-5.6,0.2
71032,2019,9,19,9,-1.7,0
71032,2019,9,20,7.6,2.7,0
71032,2019,9,21,6.9,3.2,0.2
71032,2019,9,22,1.1,-1.8,33.2
71032,2019,9,23,-1.2,-3.3,1
71032,2019,9,24,1.4,-4.6,1
71032,2019,9,25,4.4,-3.9,0
71032,2019,9,26,7.4,-2.9,0
71032,2019,9,27,4.9,-1.5,0
71032,2019,9,28,6.5,-6,0
71032,2019,9,29,6.4,-0.7,0
71032,2019,9,30,7.5,-2.1,0
71032,2020,6,1,-0.6,-1,5.2
71032,2020,6,2,0.2,-5.1,2.8
71032,2020,6,3,0.2,-5.1,0.6
71032,2020,6,4,3,-6.2,0.2
71032,2020,6,5,4,-0.8,0
71032,2020,6,6,2.9,0.1,0
71032,2020,6,7,3.6,-4.8,0
71032,2020,6,8,6.1,-5.2,0
71032,2020,6,9,5.8,-4.3,0
71032,2020,6,10,5.1,-2.8,0
71032,2020,6,11,4.5,-0.2,0
71032,2020,6,12,6.3,-3.1,0
71032,2020,6,13,4,-1.3,0
71032,2020,6,14,0.6,-1.2,41.8
71032,2020,6,15,2.3,-3.1,3
71032,2020,6,16,1.9,0,5.6
71032,2020,6,17,6,-2.9,1.2
71032,2020,6,18,8.2,-1.4,0
71032,2020,6,19,3.6,-1.3,0
71032,2020,6,20,2.5,1,10.4
71032,2020,6,21,-1.2,-2.4,44.2
71032,2020,6,22,-2.8,-5.4,0.8
71032,2020,6,23,0.6,-3.9,0.2
71032,2020,6,24,1.8,-2.9,0.6
71032,2020,6,25,-0.3,-1.9,0.2
71032,2020,6,26,0.1,-4.1,0
71032,2020,6,27,3.1,-8.2,0
71032,2020,6,28,1.7,-7.9,0
71032,2020,6,29,0.7,-7.7,0
71032,2020,6,30,1.3,-4.6,0
71032,2020,7,1,2.6,-2.9,0.8
71032,2020,7,2,-1.1,-1.6,19.4
71032,2020,7,3,-2.9,-4.5,3.2
71032,2020,7,4,-1.3,-7.2,3.8
71032,2020,7,5,1.1,-6.2,0.2
71032,2020,7,6,3.2,-3,0.2
71032,2020,7,7,3.8,-1.4,0
71032,2020,7,8,2.4,-3.4,0
71032,2020,7,9,2.2,-4,0
71032,2020,7,10,1.5,-4.6,0
71032,2020,7,11,2,-1.6,0
71032,2020,7,12,-0.6,-2.8,1.4
71032,2020,7,13,-0.3,-2.8,28.8
71032,2020,7,14,-0.6,-2.5,31.8
71032,2020,7,15,-0.9,-3.8,0
71032,2020,7,16,-1,-4.6,0
71032,2020,7,17,-1.9,-7.6,0
71032,2020,7,18,5.4,-7.5,0
71032,2020,7,19,-0.2,-3.5,0
71032,2020,7,20,-0.4,-5.7,2
71032,2020,7,21,2.4,-5.8,0
71032,2020,7,22,2.7,-1.5,0
71032,2020,7,23,3.5,-2.4,0
71032,2020,7,24,2.9,-0.4,0
71032,2020,7,25,4.2,-4.7,0
71032,2020,7,26,1.9,-1.1,5.6
71032,2020,7,27,0.9,0,9.8
71032,2020,7,28,1.3,-0.4,23.8
71032,2020,7,29,3.4,-1.6,2.6
71032,2020,7,30,3.3,-2.6,0
71032,2020,7,31,4.8,-4.9,0
71032,2020,8,1,2.9,-1.3,0
71032,2020,8,2,7.5,-3.5,0
71032,2020,8,3,0.4,-3,0
71032,2020,8,4,-2.5,-2.6,2.2
71032,2020,8,5,-3.8,-8.2,0.4
71032,2020,8,6,0.3,-9.3,0.2
71032,2020,8,7,-1.2,-7.5,0
71032,2020,8,8,0.1,-3.3,14.2
71032,2020,8,9,0,-2.3,15.8
71032,2020,8,10,1.5,-4,6.2
71032,2020,8,11,4.1,-7,0
71032,2020,8,12,1.3,-4,0
71032,2020,8,13,2.2,-1.2,5
71032,2020,8,14,2.1,-1.5,5
71032,2020,8,15,0.6,-0.8,9.4
71032,2020,8,16,0.2,-1.1,7.4
71032,2020,8,17,0.5,-1.2,9.4
71032,2020,8,18,0,-3.4,2.8
71032,2020,8,19,-2.1,-2.8,6
71032,2020,8,20,-2.5,-3.8,3
71032,2020,8,21,-2.7,-4.2,6
71032,2020,8,22,-5.1,-7.2,6.2
71032,2020,8,23,-3.7,-7,4
71032,2020,8,24,-2.1,-7.7,0
71032,2020,8,25,-2,-7.6,0
71032,2020,8,26,-0.7,-7.5,0
71032,2020,8,27,-0.9,-5.5,0
71032,2020,8,28,-0.6,-6.3,4.8
71032,2020,8,29,3.4,-5.4,0
71032,2020,8,30,3.2,-1.5,0.2
71032,2020,8,31,0.3,-2.8,0.4
71032,2020,9,1,3.1,-5.2,0
71032,2020,9,2,6.6,-0.5,0
71032,2020,9,3,4.3,0.7,0.2
71032,2020,9,4,1.1,-0.8,0.6
71032,2020,9,5,3,-3.5,0
71032,2020,9,6,6.8,-4.5,0
71032,2020,9,7,8.8,-1.8,0
71032,2020,9,8,7.5,3.3,0
71032,2020,9,9,5.8,2.1,6.8
71032,2020,9,10,6.6,-4,0
71032,2020,9,11,7.6,-3.7,0
71032,2020,9,12,5.9,-0.1,0
71032,2020,9,13,4,1.4,6
71032,2020,9,14,7.6,0.7,4.4
71032,2020,9,15,7.9,-0.6,0
71032,2020,9,16,8.4,3,0
71032,2020,9,17,10.3,3.5,0
71032,2020,9,18,8.8,1.8,0
71032,2020,9,19,10.2,4.7,1.6
71032,2020,9,20,6.6,4.4,11.2
71032,2020,9,21,8.7,4.1,5.6
71032,2020,9,22,2.2,,
71032,2020,9,23,-0.8,-3.2,4.8
71032,2020,9,24,-1.9,-4.4,6.2
71032,2020,9,25,-2.6,-4.6,1.6
71032,2020,9,26,-3.4,-8.1,4
71032,2020,9,27,-1.4,-6.3,1.2
71032,2020,9,28,2.8,-6.4,0
71032,2020,9,29,4.8,-4.1,0
71032,2020,9,30,3.6,0,0
71032,2021,6,1,5.7,-1.4,0
71032,2021,6,2,5.5,0.4,0
71032,2021,6,3,3.1,0.4,3
71032,2021,6,4,0.7,-0.3,4
71032,2021,6,5,1.3,-6.1,3
71032,2021,6,6,2.2,-1.6,0
71032,2021,6,7,2.1,-0.7,0.8
71032,2021,6,8,-0.4,-1.8,0
71032,2021,6,9,-1.6,-7.3,7.4
71032,2021,6,10,-0.5,-4,27.6
71032,2021,6,11,0.1,-4,3
71032,2021,6,12,-0.3,-1.6,6
71032,2021,6,13,,-1.4,3
71032,2021,6,14,0.8,,0.2
71032,2021,6,15,0.4,-1.9,0
71032,2021,6,16,0.3,-2.6,0.2
71032,2021,6,17,-2.3,-4,7
71032,2021,6,18,0,-4,0
71032,2021,6,19,-0.7,-2.3,4.2
71032,2021,6,20,-0.5,-3.3,0.6
71032,2021,6,21,-0.5,-7.5,0.2
71032,2021,6,22,3.7,-7,0
71032,2021,6,23,2.3,-5.4,0
71032,2021,6,24,2.6,0.3,71
71032,2021,6,25,-0.5,-1.4,22
71032,2021,6,26,-1.2,-2.7,4
71032,2021,6,27,-0.5,-5.6,1.4
71032,2021,6,28,1.8,-7.5,0
71032,2021,6,29,3.4,-5.9,0
71032,2021,6,30,1.7,-4.1,0
71032,2021,7,1,2.8,0,1.8
71032,2021,7,2,1.4,-0.4,0.4
71032,2021,7,3,-3.9,-4.2,2.6
71032,2021,7,4,-3.2,-6.3,1
71032,2021,7,5,0.3,-6.3,1
71032,2021,7,6,0.6,-4,0
71032,2021,7,7,1.8,-5.6,0
71032,2021,7,8,1.2,-5.1,0
71032,2021,7,9,2.1,-5.5,0
71032,2021,7,10,-0.7,-5.9,0
71032,2021,7,11,0.7,-6.2,0
71032,2021,7,12,-0.8,-3.8,0
71032,2021,7,13,-0.2,-2.2,0
71032,2021,7,14,0.9,-2.2,0.2
71032,2021,7,15,0.8,-1.6,13.8
71032,2021,7,16,-1.7,-1.9,8
71032,2021,7,17,,-5.2,8.2
71032,2021,7,18,,,
71032,2021,7,19,,,
71032,2021,7,20,,,
71032,2021,7,21,,,
71032,2021,7,22,,,
71032,2021,7,23,,,
71032,2021,7,24,,,
71032,2021,7,25,,,
71032,2021,7,26,,,
71032,2021,7,27,,,
71032,2021,7,28,,,
71032,2021,7,29,,,
71032,2021,7,30,,,
71032,2021,7,31,,,
71032,2021,8,1,,,
71032,2021,8,2,,,
71032,2021,8,3,-2.1,-3.9,
71032,2021,8,4,-1.1,-5.5,3.4
71032,2021,8,5,-0.4,-4.6,0.4
71032,2021,8,6,4.3,-3.2,0.2
71032,2021,8,7,2.2,-1.9,0
71032,2021,8,8,2.3,-6.2,0
71032,2021,8,9,0.9,-5.1,0
71032,2021,8,10,3.3,-2.2,0
71032,2021,8,11,,-1.6,0
71032,2021,8,12,,,
71032,2021,8,13,,,
71032,2021,8,14,,,
71032,2021,8,15,,,
71032,2021,8,16,,,
71032,2021,8,17,,,
71032,2021,8,18,,,
71032,2021,8,19,,,
71032,2021,8,20,1.9,,
71032,2021,8,21,1.8,-0.8,5.6
71032,2021,8,22,5.4,0,0
71032,2021,8,23,2.7,0.5,2
71032,2021,8,24,-2.7,-5.1,23.2
71032,2021,8,25,-1.1,-8.2,1.4
71032,2021,8,26,0.2,-4.4,1.2
71032,2021,8,27,0.1,-3.1,0.8
71032,2021,8,28,2.5,-2.5,1.8
71032,2021,8,29,-0.1,-3.1,0.6
71032,2021,8,30,0.1,-5.1,5.6
71032,2021,8,31,5,-3,1
71032,2021,9,1,6.9,-0.5,0
71032,2021,9,2,7.7,-0.9,0
71032,2021,9,3,6,4.3,5.8
71032,2021,9,4,4.6,1.8,69.6
71032,2021,9,5,-1.8,-2.3,40.8
71032,2021,9,6,1.2,-5.7,2.4
71032,2021,9,7,4.8,-4.7,0
71032,2021,9,8,5.9,-0.2,0
71032,2021,9,9,3.4,1.1,0
71032,2021,9,10,5.2,0.7,0
71032,2021,9,11,6.9,2.2,0
71032,2021,9,12,-0.2,-0.7,0
71032,2021,9,13,-1,-4.8,4.2
71032,2021,9,14,1.8,-9,0.6
71032,2021,9,15,4.1,-6.8,0
71032,2021,9,16,4.5,-4,0
71032,2021,9,17,5.4,-3.5,0
71032,2021,9,18,1.3,0.6,45.4
71032,2021,9,19,1,-2.9,0
71032,2021,9,20,-0.6,-2.5,8
71032,2021,9,21,0.9,-8,10.6
71032,2021,9,22,5.7,-5.5,1.2
71032,2021,9,23,5.2,0.8,0
71032,2021,9,24,3.4,1.1,0.2
71032,2021,9,25,1.4,-4,1.2
71032,2021,9,26,4.3,-9.3,0
71032,2021,9,27,5,-5.8,0
71032,2021,9,28,5.6,0,0
71032,2021,9,29,6.4,1.6,10.6
71032,2021,9,30,3.7,0.9,18.4
71032,2022,6,1,-1.9,-7.4,6.6
71032,2022,6,2,0,-7.2,0.2
71032,2022,6,3,-1.9,-4.6,0
71032,2022,6,4,-1,-3.9,0.6
71032,2022,6,5,-0.2,-3,7.2
71032,2022,6,6,-3.6,-5.7,12.6
71032,2022,6,7,-4.8,-4.9,3.4
71032,2022,6,8,-3.8,-5.9,1.4
71032,2022,6,9,-2.2,-5.6,0.2
71032,2022,6,10,-1.5,-4.1,0.2
71032,2022,6,11,-2.5,-6,0.2
71032,2022,6,12,-1.5,-5,0.2
71032,2022,6,13,-0.3,-5.3,0.2
71032,2022,6,14,2.6,-4,0
71032,2022,6,15,0.6,-2.8,0
71032,2022,6,16,0.7,-2.7,3.6
71032,2022,6,17,0.4,-1.9,2.4
71032,2022,6,18,4,-4.4,0
71032,2022,6,19,4.1,-5.7,0
71032,2022,6,20,2.7,-4.2,0
71032,2022,6,21,0,-0.2,11.2
71032,2022,6,22,0,-4.6,10
71032,2022,6,23,0.8,-2.7,0
71032,2022,6,24,0.8,-0.6,1.6
71032,2022,6,25,-1.8,-3.2,6
71032,2022,6,26,-1,-3.2,0
71032,2022,6,27,3.1,-6.9,2.2
71032,2022,6,28,5.8,-7.2,0
71032,2022,6,29,2.9,-0.8,0
71032,2022,6,30,1.9,-2.6,1
71032,2022,7,1,-1.2,-4.2,1.2
71032,2022,7,2,-0.7,-3.9,0
71032,2022,7,3,-0.3,-2.7,0.2
71032,2022,7,4,-0.6,-3.7,0.2
71032,2022,7,5,4.5,-7.2,0
71032,2022,7,6,6.4,-7.7,0
71032,2022,7,7,1.8,-4.2,0
71032,2022,7,8,-2.6,-4.6,0
71032,2022,7,9,-1.8,-5,1.4
71032,2022,7,10,-0.1,-4.5,0.6
71032,2022,7,11,0.6,-8.5,0
71032,2022,7,12,-1.8,-4.6,0
71032,2022,7,13,-3,-6.2,0.2
71032,2022,7,14,0.9,-9,0
71032,2022,7,15,0.6,-5,0
71032,2022,7,16,-1.6,-4.1,0
71032,2022,7,17,-1,-4.8,1
71032,2022,7,18,-4,-7.3,6.6
71032,2022,7,19,-3.5,-8.2,0.8
71032,2022,7,20,-1.3,,0
71032,2022,7,21,0,-8.2,0
71032,2022,7,22,-0.1,-4.2,2
71032,2022,7,23,2.3,-3.5,0
71032,2022,7,24,3.4,-0.6,0
71032,2022,7,25,3.1,-2.6,0
71032,2022,7,26,-0.7,-1.3,17.2
71032,2022,7,27,-0.3,-5.7,3.6
71032,2022,7,28,-0.5,-4.1,0.6
71032,2022,7,29,-1.8,-7.4,2
71032,2022,7,30,0.5,-9,0
71032,2022,7,31,0.1,-3.3,0
71032,2022,8,1,-2.3,-3.1,13.8
71032,2022,8,2,0.1,-3.9,2.4
71032,2022,8,3,5.7,-5,14.8
71032,2022,8,4,4.2,0.1,63.8
71032,2022,8,5,-0.3,-0.8,58.4
71032,2022,8,6,-1.5,-2.9,8
71032,2022,8,7,-0.2,-4.7,1.4
71032,2022,8,8,-0.2,-5.7,0.2
71032,2022,8,9,-1.1,-9.2,1
71032,2022,8,10,-0.2,-6.8,0
71032,2022,8,11,0.1,-2.4,0
71032,2022,8,12,-0.7,-2,6.2
71032,2022,8,13,-0.7,-5.9,2.8
71032,2022,8,14,-1.5,-3,4.8
71032,2022,8,15,-2.4,-4.3,8.2
71032,2022,8,16,0.6,-3.8,1.8
71032,2022,8,17,4.1,-3.2,1
71032,2022,8,18,2.2,-0.8,0.6
71032,2022,8,19,-0.8,-3.5,12.2
71032,2022,8,20,-0.3,-4.2,3
71032,2022,8,21,0.3,-6.9,4.2
71032,2022,8,22,0.4,-4.6,0
71032,2022,8,23,-4.4,-4.9,23
71032,2022,8,24,-1.1,-6.7,1.4
71032,2022,8,25,0,-4.5,0.2
71032,2022,8,26,1.4,-6.4,0
71032,2022,8,27,4.3,-4.6,0
71032,2022,8,28,3.1,-3.7,0.2
71032,2022,8,29,3.4,0.9,0.8
71032,2022,8,30,1.3,-2.7,20.8
71032,2022,8,31,4.4,-2.8,2.6
71032,2022,9,1,2.2,-1.4,0
71032,2022,9,2,3.4,-3.6,0
71032,2022,9,3,1.9,-9.2,0.2
71032,2022,9,4,6.6,-7.3,0
71032,2022,9,5,2,-4.1,0
71032,2022,9,6,3.5,-7.4,0.4
71032,2022,9,7,4.5,-4.5,0
71032,2022,9,8,4.5,0.1,4.8
71032,2022,9,9,1.8,1.2,9.6
71032,2022,9,10,3,0,5.8
71032,2022,9,11,0.1,-3.7,10
71032,2022,9,12,-0.9,-4.5,0.6
71032,2022,9,13,-0.5,-7.3,4.6
71032,2022,9,14,3,-8.7,0
71032,2022,9,15,3.3,-3.5,0
71032,2022,9,16,1.1,-0.9,3.8
71032,2022,9,17,-1.2,-3.2,14
71032,2022,9,18,-0.8,-3.2,8.2
71032,2022,9,19,-1.1,-3.2,10.8
71032,2022,9,20,6.5,-5,0
71032,2022,9,21,6.4,-2,0
71032,2022,9,22,6.3,1.5,0
71032,2022,9,23,7.1,1.4,0.2
71032,2022,9,24,4.8,-0.2,15
71032,2022,9,25,8.1,-2,5.8
71032,2022,9,26,7.8,-1.5,0
71032,2022,9,27,4.5,0.2,8.8
71032,2022,9,28,2.9,-0.1,11.8
71032,2022,9,29,2.8,0.2,16
71032,2022,9,30,4.6,-2.1,0.4
71032,2023,6,1,3.1,1.4,7.8
71032,2023,6,2,3.8,-0.4,1
71032,2023,6,3,5.4,1.1,3.4
71032,2023,6,4,8.5,-0.4,0.2
71032,2023,6,5,7.3,0.8,0
71032,2023,6,6,5.7,4.1,2.6
71032,2023,6,7,6.4,4,2.8
71032,2023,6,8,5.1,4,45.2
71032,2023,6,9,-1,-1.7,41.6
71032,2023,6,10,1.1,-4.2,1.8
71032,2023,6,11,3.4,-4.2,0
71032,2023,6,12,2.9,-2.7,0
71032,2023,6,13,0.7,-1.5,0
71032,2023,6,14,-1.1,-3.2,7
71032,2023,6,15,0,-4.1,1.2
71032,2023,6,16,0.1,-1.2,0.8
71032,2023,6,17,-0.8,-2.5,0
71032,2023,6,18,-2.8,-3.2,0.6
71032,2023,6,19,-3.3,-5,1.4
71032,2023,6,20,-1.6,-7.5,2.6
71032,2023,6,21,1.6,-6.8,0
71032,2023,6,22,0.4,-3.1,0
71032,2023,6,23,-1.5,-3.2,3.8
71032,2023,6,24,-1.5,-4.1,1.2
71032,2023,6,25,-1.9,-4.2,5
71032,2023,6,26,-1.6,-4.2,6.6
71032,2023,6,27,-1.6,-4.6,8.4
71032,2023,6,28,-1.6,-4,0
71032,2023,6,29,-1.9,-7.7,1.2
71032,2023,6,30,-0.6,-6.9,0
71032,2023,7,1,-1.1,-2.5,0.2
71032,2023,7,2,0,-4.9,0.2
71032,2023,7,3,3.6,-3.5,0
71032,2023,7,4,3,-2,0.2
71032,2023,7,5,2.3,0.1,16
71032,2023,7,6,-2.1,-4.9,4.4
71032,2023,7,7,-1.6,-3.8,0.4
71032,2023,7,8,-1.2,-4,2
71032,2023,7,9,-0.1,-4,9
71032,2023,7,10,0,-2.1,0.6
71032,2023,7,11,0.1,-2.3,0
71032,2023,7,12,3.2,-4,0
71032,2023,7,13,4.3,-0.9,0
71032,2023,7,14,1.8,-1.7,0
71032,2023,7,15,2.3,-1.3,0
71032,2023,7,16,6,-1.3,0
71032,2023,7,17,5.9,-4,0
71032,2023,7,18,0.7,-3.1,0
71032,2023,7,19,2.9,-6.4,1.6
71032,2023,7,20,2.9,-5.7,0
71032,2023,7,21,-0.1,-4.8,1
71032,2023,7,22,1.4,-5.4,0.2
71032,2023,7,23,1.9,-8.4,0
71032,2023,7,24,4,-6.5,0
71032,2023,7,25,6.1,-0.5,0
71032,2023,7,26,3.9,-0.9,0
71032,2023,7,27,3.9,-2.3,0
71032,2023,7,28,2.2,-0.7,
71032,2023,7,29,3,0.2,7.8
71032,2023,7,30,1.1,-0.5,0
71032,2023,7,31,2.7,-1.6,0.2
71032,2023,8,1,5.4,-2.2,0
71032,2023,8,2,6,-3.2,0
71032,2023,8,3,4.5,0.5,0
71032,2023,8,4,4.5,1.9,0
71032,2023,8,5,3.3,0.4,36
71032,2023,8,6,5.8,-4.2,0
71032,2023,8,7,,-4.1,0
71032,2023,8,8,4.8,-3.6,
71032,2023,8,9,4.3,-3.8,0
71032,2023,8,10,1.2,-1.4,
71032,2023,8,11,2.9,-2.8,2.2
71032,2023,8,12,-0.9,-4,0
71032,2023,8,13,1.3,-5,0
71032,2023,8,14,0.7,-2.7,3.8
71032,2023,8,15,-0.1,-5.9,1.2
71032,2023,8,16,0.4,-7,0.2
71032,2023,8,17,2.9,-4.6,0
71032,2023,8,18,-1.9,-3.2,1
71032,2023,8,19,3,-6.4,4
71032,2023,8,20,7.8,-2.8,0.2
71032,2023,8,21,4.8,0.4,0
71032,2023,8,22,2.7,1.2,9.6
71032,2023,8,23,4,-1.3,9
71032,2023,8,24,5.5,-3.3,0
71032,2023,8,25,6.1,0.3,0
71032,2023,8,26,,,
71032,2023,8,27,4.7,,
71032,2023,8,28,3,-0.4,3.4
71032,2023,8,29,7,0.2,2.4
71032,2023,8,30,2,1.1,0.2
71032,2023,8,31,3.3,-2.5,15.4
71032,2023,9,1,5.9,-4,0.2
71032,2023,9,2,,-6.3,0
71032,2023,9,3,,,
71032,2023,9,4,,,
71032,2023,9,5,,,5.2
71032,2023,9,6,,,0.6
71032,2023,9,7,,,0
71032,2023,9,8,,,32.6
71032,2023,9,9,,,4.2
71032,2023,9,10,,,0.2
71032,2023,9,11,,,0
71032,2023,9,12,,,0
71032,2023,9,13,,,0
71032,2023,9,14,,,0
71032,2023,9,15,,,0
71032,2023,9,16,,,0
71032,2023,9,17,,,0
71032,2023,9,18,,,0
71032,2023,9,19,,,0
71032,2023,9,20,,,0
71032,2023,9,21,,,10.6
71032,2023,9,22,,,0
71032,2023,9,23,11.2,-3.3,
71032,2023,9,24,13,-0.9,0
71032,2023,9,25,,,
71032,2023,9,26,10.6,,
71032,2023,9,27,10.5,2.9,3
71032,2023,9,28,12.6,2.7,0.8
71032,2023,9,29,13.1,6,0
71032,2023,9,30,13.1,2.8,0
71032,2024,6,1,3.1,-1.3,0
71032,2024,6,2,-0.4,-5.8,3.8
71032,2024,6,3,2.7,-2.9,3.4
71032,2024,6,4,4.3,-1.5,0.8
71032,2024,6,5,3.2,0.4,0
71032,2024,6,6,3.1,0.5,5.2
71032,2024,6,7,3.5,-0.1,6.4
71032,2024,6,8,5.4,0.8,1.6
71032,2024,6,9,4.6,-0.8,1.8
71032,2024,6,10,4.5,-3.6,0.2
71032,2024,6,11,0.8,-2.1,0.8
71032,2024,6,12,1.9,-2,32.4
71032,2024,6,13,2.4,-5.3,2
71032,2024,6,14,-0.6,-5.2,0
71032,2024,6,15,-1.3,-3.9,1.8
71032,2024,6,16,-1.9,-6.2,0.4
71032,2024,6,17,-0.4,-5,0
71032,2024,6,18,-1.2,-9,0
71032,2024,6,19,0.4,-4,0
71032,2024,6,20,-0.6,-4.9,0
71032,2024,6,21,-0.9,-5.7,0
71032,2024,6,22,-0.3,-7.7,0.8
71032,2024,6,23,2.3,-7.1,0
71032,2024,6,24,2,-3.9,0
71032,2024,6,25,0.6,-2.6,0
71032,2024,6,26,-1.5,-2.1,6
71032,2024,6,27,-0.9,-2.5,3
71032,2024,6,28,-0.3,-3.9,4.6
71032,2024,6,29,0.4,-2.8,0
71032,2024,6,30,-4.3,-4.4,18.2
71032,2024,7,1,-3.4,-9.6,0
71032,2024,7,2,-1.5,-8.4,0
71032,2024,7,3,-0.4,-11.1,0
71032,2024,7,4,-0.7,-7.9,0
71032,2024,7,5,2,-8.2,0
71032,2024,7,6,3.3,-5,0
71032,2024,7,7,1.8,-6.2,0
71032,2024,7,8,2.2,-4.1,0
71032,2024,7,9,1.5,0.1,7.8
71032,2024,7,10,3.4,-0.6,0.4
71032,2024,7,11,5.2,-1,0.4
71032,2024,7,12,1.8,-0.4,0
71032,2024,7,13,-0.3,-5.1,0
71032,2024,7,14,-3.8,-5.9,0
71032,2024,7,15,-0.7,-7.2,1.2
71032,2024,7,16,0,-5.6,1
71032,2024,7,17,-0.6,-2.2,1.4
71032,2024,7,18,-2.7,-3.8,0.2
71032,2024,7,19,-1.8,-6.6,0
71032,2024,7,20,-1.8,-5.7,12.6
